run_id,approach,comms_dropout,seed,steps,grid_size,terrain_source,terrain_cache_path,ignore_happo_env
220,lawnmower,0.4,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
221,lawnmower,0.6,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
222,lawnmower,0.6,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
223,lawnmower,0.6,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
224,lawnmower,0.6,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
225,lawnmower,0.6,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
226,lawnmower,0.6,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
227,lawnmower,0.6,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
228,lawnmower,0.6,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
229,lawnmower,0.6,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
230,lawnmower,0.6,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
231,lawnmower,0.6,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
232,lawnmower,0.6,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
233,lawnmower,0.6,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
234,lawnmower,0.6,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
235,lawnmower,0.6,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
236,lawnmower,0.6,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
237,lawnmower,0.6,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
238,lawnmower,0.8,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
239,lawnmower,0.8,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
240,lawnmower,0.8,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
241,lawnmower,0.8,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
242,lawnmower,0.8,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
243,lawnmower,0.8,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
244,lawnmower,0.8,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
245,lawnmower,0.8,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
246,lawnmower,0.8,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
247,lawnmower,0.8,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
248,lawnmower,0.8,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
249,lawnmower,0.8,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
250,lawnmower,0.8,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
251,lawnmower,0.8,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
252,lawnmower,0.8,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
253,lawnmower,0.8,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
254,lawnmower,0.8,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
255,nearest_candidate,0.0,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
256,nearest_candidate,0.0,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
257,nearest_candidate,0.0,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
258,nearest_candidate,0.0,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
259,nearest_candidate,0.0,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
260,nearest_candidate,0.0,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
261,nearest_candidate,0.0,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
262,nearest_candidate,0.0,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
263,nearest_candidate,0.0,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
264,nearest_candidate,0.0,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
265,nearest_candidate,0.0,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
266,nearest_candidate,0.0,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
267,nearest_candidate,0.0,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
268,nearest_candidate,0.0,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
269,nearest_candidate,0.0,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
270,nearest_candidate,0.0,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
271,nearest_candidate,0.0,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
272,nearest_candidate,0.2,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
273,nearest_candidate,0.2,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
274,nearest_candidate,0.2,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
275,nearest_candidate,0.2,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
276,nearest_candidate,0.2,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
277,nearest_candidate,0.2,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
278,nearest_candidate,0.2,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
279,nearest_candidate,0.2,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
280,nearest_candidate,0.2,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
281,nearest_candidate,0.2,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
282,nearest_candidate,0.2,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
283,nearest_candidate,0.2,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
284,nearest_candidate,0.2,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
285,nearest_candidate,0.2,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
286,nearest_candidate,0.2,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
287,nearest_candidate,0.2,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
288,nearest_candidate,0.2,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
289,nearest_candidate,0.4,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
290,nearest_candidate,0.4,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
291,nearest_candidate,0.4,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
292,nearest_candidate,0.4,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
293,nearest_candidate,0.4,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
294,nearest_candidate,0.4,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
295,nearest_candidate,0.4,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
296,nearest_candidate,0.4,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
297,nearest_candidate,0.4,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
298,nearest_candidate,0.4,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
299,nearest_candidate,0.4,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
300,nearest_candidate,0.4,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
301,nearest_candidate,0.4,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
302,nearest_candidate,0.4,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
303,nearest_candidate,0.4,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
304,nearest_candidate,0.4,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
305,nearest_candidate,0.4,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
306,nearest_candidate,0.6,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
307,nearest_candidate,0.6,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
